#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Allison's Amazing Activity Generator (World) (Aftermarket) (Unl);Allison's Amazing Activity Generator (World) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Almika - The Star Rider - Densetsu Gaiden (World) (Aftermarket) (Unl);Almika - The Star Rider - Densetsu Gaiden (World) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Alter Ego (World) (2011-07-23) (Aftermarket) (Unl);Alter Ego (World) (2011-07-23) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Altercation (World) (Aftermarket) (Unl);Altercation (World) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Alwa's Awakening Soundtrack (World) (Aftermarket) (Unl);Alwa's Awakening Soundtrack (World) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Amagon (USA);Amagon (USA);Famicom;;;;;;;;;;;;;;;;;;
America Daitouryou Senkyo (Japan);America Daitouryou Senkyo (Japan);Famicom;;;;;;;;;;;;;;;;;;
America Oudan Ultra Quiz - Shijou Saidai no Tatakai (Japan) (Rev 1);America Oudan Ultra Quiz - Shijou Saidai no Tatakai (Japan) (Rev 1);Famicom;;;;;;;;;;;;;;;;;;
American Dream (Japan);American Dream (Japan);Famicom;;;;;;;;;;;;;;;;;;
American Football - Touchdown Fever (Japan);American Football - Touchdown Fever (Japan);Famicom;;;;;;;;;;;;;;;;;;
American Gladiators (USA);American Gladiators (USA);Famicom;;;;;;;;;;;;;;;;;;
Anamanaguchi - Power Supply (USA) (Aftermarket) (Unl);Anamanaguchi - Power Supply (USA) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Angry Birds (Asia) (En) (Aftermarket) (Pirate);Angry Birds (Asia) (En) (Aftermarket) (Pirate);Famicom;;;;;;;;;;;;;;;;;;
Animal Clipper (World) (Aftermarket) (Unl);Animal Clipper (World) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Animalia Dreamland (World) (Aftermarket) (Unl);Animalia Dreamland (World) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Ankoku Shinwa - Yamato Takeru Densetsu (Japan);Ankoku Shinwa - Yamato Takeru Densetsu (Japan);Famicom;;;;;;;;;;;;;;;;;;
Ankoro Mochi Manufacturing Factory (World) (Ja) (Aftermarket) (Unl);Ankoro Mochi Manufacturing Factory (World) (Ja) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Another World (World) (Digital Release) (Aftermarket) (Unl);Another World (World) (Digital Release) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Antenna Antics (World) (Aftermarket) (Unl);Antenna Antics (World) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Anticipation (Europe);Anticipation (Europe);Famicom;;;;;;;;;;;;;;;;;;
Ao Jian Jianghu (China) (Aftermarket) (Unl);Ao Jian Jianghu (China) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan);Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan);Famicom;;;;;;;;;;;;;;;;;;
Aoki Ookami to Shiroki Mejika - Genghis Khan (Japan);Aoki Ookami to Shiroki Mejika - Genghis Khan (Japan);Famicom;;;;;;;;;;;;;;;;;;
Apuntalo, Cheril! (World) (Es) (Aftermarket) (Unl);Apuntalo, Cheril! (World) (Es) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Arabian Dream Scheherazade (Japan);Arabian Dream Scheherazade (Japan);Famicom;;;;;;;;;;;;;;;;;;
Arch Rivals - A Basketbrawl! (Europe);Arch Rivals - A Basketbrawl! (Europe);Famicom;;;;;;;;;;;;;;;;;;
Archon (USA);Archon (USA);Famicom;;;;;;;;;;;;;;;;;;
Arctic (Japan);Arctic (Japan);Famicom;;;;;;;;;;;;;;;;;;
Arctic Adventure - Penguin & Seal (Australia) (Unl);Arctic Adventure - Penguin & Seal (Australia) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Argos no Senshi (Japan) (FamicomBox);Argos no Senshi (Japan) (FamicomBox);Famicom;;;;;;;;;;;;;;;;;;
Argos no Senshi - Hachamecha Daishingeki (Japan);Argos no Senshi - Hachamecha Daishingeki (Japan);Famicom;;;;;;;;;;;;;;;;;;
Argus (Japan);Argus (Japan);Famicom;;;;;;;;;;;;;;;;;;
Arkade Rush (World) (2021-03-10) (Aftermarket) (Unl);Arkade Rush (World) (2021-03-10) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Arkanoid (Asia) (En) (LC10) (Pirate);Arkanoid (Asia) (En) (LC10) (Pirate);Famicom;;;;;;;;;;;;;;;;;;
Arkanoid II (Japan) (En);Arkanoid II (Japan) (En);Famicom;;;;;;;;;;;;;;;;;;
Arkista's Ring (USA);Arkista's Ring (USA);Famicom;;;;;;;;;;;;;;;;;;
Arlington Apple in an Interplanetary Pickle (World) (Aftermarket) (Unl);Arlington Apple in an Interplanetary Pickle (World) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Arm Wrestling Classic, The (World) (Aftermarket) (Unl);Arm Wrestling Classic, The (World) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Armadillo (Japan);Armadillo (Japan);Famicom;;;;;;;;;;;;;;;;;;
