#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Backstreet Billiards (USA);Backstreet Billiards (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Backyard Soccer (USA);Backyard Soccer (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Baldies (USA);Baldies (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Ball Breakers (USA);Ball Breakers (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Ballblazer Champions (USA);Ballblazer Champions (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Ballerburg - Castle Chaos (USA);Ballerburg - Castle Chaos (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Ballistic (USA);Ballistic (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Barbie - Explorer (USA);Barbie - Explorer (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Barbie - Gotta Have Games (USA);Barbie - Gotta Have Games (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Barbie - Race & Ride (USA);Barbie - Race & Ride (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Barbie - Super Sports (USA);Barbie - Super Sports (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bases Loaded '96 - Double Header (USA);Bases Loaded '96 - Double Header (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bass Landing (USA);Bass Landing (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bass Rise (USA);Bass Rise (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Batman & Robin (USA);Batman & Robin (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Batman - Gotham City Racer (USA);Batman - Gotham City Racer (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Batman Beyond - Return of the Joker (USA);Batman Beyond - Return of the Joker (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Batman Forever - The Arcade Game (USA);Batman Forever - The Arcade Game (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Battle Arena Toshinden (USA);Battle Arena Toshinden (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Battle Arena Toshinden 2 (USA);Battle Arena Toshinden 2 (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Battle Arena Toshinden 3 (USA) (En,Ja);Battle Arena Toshinden 3 (USA) (En,Ja);Sony PlayStation;;;;;;;;;;;;;;;;;;
Battle Hunter (USA);Battle Hunter (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Battle Stations (USA);Battle Stations (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
BattleSport (USA);BattleSport (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
BattleTanx - Global Assault (USA);BattleTanx - Global Assault (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Beast Wars - Transformers (USA);Beast Wars - Transformers (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Best Buy Demo CD (USA);Best Buy Demo CD (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Best Buy Greatest Hits Demo Disc - Volume One (USA);Best Buy Greatest Hits Demo Disc - Volume One (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Best of PlayStation Underground Year One, The (USA);Best of PlayStation Underground Year One, The (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Beyblade (USA);Beyblade (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Beyond the Beyond (USA);Beyond the Beyond (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Big Air (USA);Big Air (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Big Bass Fishing (USA);Big Bass Fishing (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Big Bass World Championship (USA) (Rev 1);Big Bass World Championship (USA) (Rev 1);Sony PlayStation;;;;;;;;;;;;;;;;;;
Big Bass World Championship (USA);Big Bass World Championship (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Big League Slugger Baseball (USA);Big League Slugger Baseball (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Big Ol' Bass 2 (USA);Big Ol' Bass 2 (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Big Strike Bowling (USA);Big Strike Bowling (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Billiards (USA);Billiards (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bio F.R.E.A.K.S. (USA);Bio F.R.E.A.K.S. (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Black Bass with Blue Marlin (USA);Black Bass with Blue Marlin (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Black Dawn (USA);Black Dawn (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Blade (USA);Blade (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Blast Chamber (USA);Blast Chamber (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Blast Lacrosse (USA) (Alt);Blast Lacrosse (USA) (Alt);Sony PlayStation;;;;;;;;;;;;;;;;;;
Blast Lacrosse (USA);Blast Lacrosse (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Blast Radius (USA);Blast Radius (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Blaster Master - Blasting Again (USA);Blaster Master - Blasting Again (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Blasto (USA);Blasto (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Blazing Dragons (USA);Blazing Dragons (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Blockbuster Presents - GameShark Top 50 - Summer Fall 2001 (USA) (Unl);Blockbuster Presents - GameShark Top 50 - Summer Fall 2001 (USA) (Unl);Sony PlayStation;;;;;;;;;;;;;;;;;;
Blockids (USA);Blockids (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Blood Omen - Legacy of Kain (USA) (Beta 1);Blood Omen - Legacy of Kain (USA) (Beta 1);Sony PlayStation;;;;;;;;;;;;;;;;;;
Blood Omen - Legacy of Kain (USA) (Beta 2);Blood Omen - Legacy of Kain (USA) (Beta 2);Sony PlayStation;;;;;;;;;;;;;;;;;;
Blood Omen - Legacy of Kain (USA);Blood Omen - Legacy of Kain (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bloody Roar (USA);Bloody Roar (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bloody Roar II (USA);Bloody Roar II (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Blue's Clues - Blue's Big Musical (USA);Blue's Clues - Blue's Big Musical (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bob the Builder - Can We Fix It (USA);Bob the Builder - Can We Fix It (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bogey Dead 6 (USA);Bogey Dead 6 (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bomberman - Party Edition (USA);Bomberman - Party Edition (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bomberman Fantasy Race (USA);Bomberman Fantasy Race (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bomberman World (USA);Bomberman World (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bombing Islands, The (USA);Bombing Islands, The (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
BoomBots (USA);BoomBots (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bottom of the 9th '97 (USA);Bottom of the 9th '97 (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bottom of the 9th '99 (USA);Bottom of the 9th '99 (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bottom of the 9th (USA);Bottom of the 9th (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Bowling (USA);Bowling (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Boxing (USA);Boxing (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
