#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
BLT (World) (Aftermarket) (Unl);BLT (World) (Aftermarket) (Unl);Super Famicom;;;;;;;;;;;;;;;;;;
BS-X - Sore wa Namae o Nusumareta Machi no Monogatari (Japan) (Rev 1);BS-X - Sore wa Namae o Nusumareta Machi no Monogatari (Japan) (Rev 1);Super Famicom;;;;;;;;;;;;;;;;;;
Bahamut Lagoon (Japan);Bahamut Lagoon (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Bakukyuu Renpatsu!! Super B-Daman (Japan);Bakukyuu Renpatsu!! Super B-Daman (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Bakumatsu Kourinden Oni (Japan);Bakumatsu Kourinden Oni (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Bakutou Dochers - Bumps-jima wa Oosawagi (Japan);Bakutou Dochers - Bumps-jima wa Oosawagi (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Ball Bullet Gun (Japan);Ball Bullet Gun (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Ballz 3D - Fighting at Its Ballziest (USA);Ballz 3D - Fighting at Its Ballziest (USA);Super Famicom;;;;;;;;;;;;;;;;;;
Bananas de Pijamas (USA) (Pirate);Bananas de Pijamas (USA) (Pirate);Super Famicom;;;;;;;;;;;;;;;;;;
Barbarossa (Japan);Barbarossa (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Barbie Super Model (USA);Barbie Super Model (USA);Super Famicom;;;;;;;;;;;;;;;;;;
Barkley Shut Up and Jam! (Europe);Barkley Shut Up and Jam! (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Barkley no Power Dunk (Japan) (En);Barkley no Power Dunk (Japan) (En);Super Famicom;;;;;;;;;;;;;;;;;;
Bassin's Black Bass (USA);Bassin's Black Bass (USA);Super Famicom;;;;;;;;;;;;;;;;;;
Bastard!! - Ankoku no Hakaishin (Japan);Bastard!! - Ankoku no Hakaishin (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Batman Forever (USA) (Rev 1);Batman Forever (USA) (Rev 1);Super Famicom;;;;;;;;;;;;;;;;;;
Batman Returns (Europe);Batman Returns (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Battle Blaze (Japan) (En);Battle Blaze (Japan) (En);Super Famicom;;;;;;;;;;;;;;;;;;
Battle Cars (USA);Battle Cars (USA);Super Famicom;;;;;;;;;;;;;;;;;;
Battle Clash (Europe);Battle Clash (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Battle Commander - Hachibushuu, Shura no Heihou (Japan);Battle Commander - Hachibushuu, Shura no Heihou (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Battle Cross (Japan);Battle Cross (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Battle Dodge Ball (Japan);Battle Dodge Ball (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Battle Dodge Ball II (Japan);Battle Dodge Ball II (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Battle Grand Prix (Japan) (En);Battle Grand Prix (Japan) (En);Super Famicom;;;;;;;;;;;;;;;;;;
Battle Jockey (Japan);Battle Jockey (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Battle Master - Kyuukyoku no Senshi-tachi (Japan);Battle Master - Kyuukyoku no Senshi-tachi (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Battle Pinball (Japan);Battle Pinball (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Battle Racers (Japan);Battle Racers (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Battle Robot Retsuden (Japan) (Rev 1);Battle Robot Retsuden (Japan) (Rev 1);Super Famicom;;;;;;;;;;;;;;;;;;
